participant,prolificID,ishihara1,ishihara2,ishihara3,ishihara4,infoMessage,digitSpanExperiment,break1,flankerArrowsExperiment,digitSpan,flankerEffect,endsurvey,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.88e8c9e3-7cca-47a2-8b57-d4786331feba.txt,2170,2499,2720,2936,2407,3248,"",2640,"","","","",3658,2025-12-01-10-14,2025-12-01-17-14,2025-12-01-17-20,6
s.39fa53f7-b72a-4c33-a915-2b3e26fb8e56.txt,6666,7991,20836,5580,4835,9141,"",9206,"","","","",5013,2025-12-01-12-14,2025-12-01-17-14,2025-12-01-17-23,9
s.1d5a13a5-8b13-423e-a750-fb9b9076f8b6.txt,68770,23004,9248,4780,6524,14111,"",12556,"","","","",7209,2025-12-01-12-14,2025-12-01-17-14,2025-12-01-17-24,10
s.677aa343-b2c7-408f-82f3-36ff57298237.txt,2026,2779,2934,3898,2912,3350,"",4400,"","","","",6925,2025-12-01-12-14,2025-12-01-17-14,2025-12-01-17-21,7
s.87689bc2-60ac-4a95-91e7-9734d29fb43f.txt,3635,5474,5259,4481,4513,9876,"",3611,"","","","",9532,2025-12-01-10-14,2025-12-01-17-14,2025-12-01-17-22,8
s.a5bb30fa-ac74-44ae-b8e3-f248ebeb081a.txt,5247,6198,14069,7668,8018,7073,"",3756,"","","","",8278,2025-12-01-09-15,2025-12-01-17-15,2025-12-01-17-22,7
s.3513708b-09d9-4507-b5cd-b120e5502946.txt,6812,5147,7316,8181,6597,9048,"",33129,"","","","",12557,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-23,8
s.13f8e31e-4cf3-4b16-b62e-2502e03a294b.txt,11158,6493,14271,23777,5176,65550,"",50440,"","","","",17585,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-26,11
s.7c175dac-9bcc-4d38-bbca-53c28fc11721.txt,8899,6382,9033,7691,6035,3710,"",19444,"","","","",13020,2025-12-01-11-15,2025-12-01-17-15,2025-12-01-17-24,9
s.b0bb2085-bcef-4fdd-a52f-21b0182e83cf.txt,2501,4374,9496,5489,4039,796768,"",508781,"","","","",45853,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-48,33
s.c6d73f6d-dc1f-4678-87f2-ce2ae442c826.txt,3022,6557,25286,8796,8323,10778,"",4662,"","","","",11568,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-24,9
s.6568bb48-3e86-4f29-a012-7ba0c1b8a843.txt,4932,8700,11364,11548,4791,47467,"",7307,"","","","",13296,2025-12-01-09-15,2025-12-01-17-15,2025-12-01-17-25,10
s.1f99bb19-41cc-4307-816f-9b7753e5aaf1.txt,4977,3632,5201,3857,3238,108779,"",2180,"","","","",4078,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-24,9
s.d1ce5a4b-5620-4e3c-9a75-2d8a5ca65aac.txt,5073,6530,25416,8030,8244,5989,"",14739,"","","","",23969,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-24,9
s.c3bbe1ee-d0dd-4ff4-a887-b5fbc3ffe27b.txt,7093,6908,10006,7262,5290,4520,"",4123,"","","","",9252,2025-12-01-11-15,2025-12-01-17-15,2025-12-01-17-23,8
s.9c9e8a3d-52e0-459f-b17f-b46456d6aa92.txt,8758,5397,5515,4074,4174,14177,"",54767,"","","","",14673,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-25,10
s.a38f66c3-8260-4411-8d9d-2dad97f5df2b.txt,5208,3206,5343,7018,3434,6521,"",146705,"","","","",49102,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-25,10
s.47dd69d4-76e3-44b3-baf6-d93a8e4ae941.txt,3286,3691,5085,4755,4044,3892,"",2297,"","","","",11759,2025-12-01-12-15,2025-12-01-17-15,2025-12-01-17-22,7
s.7ae0f83f-1356-4fbe-9412-1b7e1c8cba35.txt,2913,2699,6994,7657,4842,1948,"",2057,"","","","",8473,2025-12-01-09-15,2025-12-01-17-15,2025-12-01-17-23,8
s.28c17ec7-d288-4f3f-88b2-c2328b530319.txt,8450,3314,5463,6627,3055,4131,"",27560,"","","","",16848,2025-12-01-10-15,2025-12-01-17-15,2025-12-01-17-24,9
s.9f7bbfd8-c4e8-4b83-a274-9f8ac9e2c755.txt,4910,3375,4212,3656,3914,7145,"",13011,"","","","",13189,2025-12-01-12-16,2025-12-01-17-16,2025-12-01-17-22,6
s.79c291ac-777f-4965-8207-01dcdb2ea4ef.txt,7785,6467,8182,7679,11085,13238,"",8755,"","","","",3817,2025-12-01-12-16,2025-12-01-17-16,2025-12-01-17-26,10
s.16e13599-0531-4735-9d34-12c074f57689.txt,4778,3752,5435,9159,7116,7673,"",1213,"","","","",10326,2025-12-01-11-16,2025-12-01-17-16,2025-12-01-17-25,9
s.c3a883f9-f77e-4a45-89b5-78cb2764ba7b.txt,5064,17923,7426,6523,6218,9734,"",3970,"","","","",17367,2025-12-01-12-16,2025-12-01-17-16,2025-12-01-17-30,14
s.61b60732-4058-4049-ace8-8189efde3a21.txt,3257,3144,8376,4278,6233,4852,"",26771,"","","","",39620,2025-12-01-12-16,2025-12-01-17-16,2025-12-01-17-24,8
s.c66936c0-6424-4894-8cca-6b8b2acc9d04.txt,9752,43087,12648,12630,6276,14101,"",6506,"","","","",14829,2025-12-01-11-16,2025-12-01-17-16,2025-12-01-17-29,13
s.046ee457-82d3-4a69-be99-234640a68b55.txt,2259,1614,2932,2050,2226,3369,"",2055,"","","","",2806,2025-12-01-12-17,2025-12-01-17-17,2025-12-01-17-22,5
s.4e50c2d3-e89d-4121-b215-054579d4c522.txt,4861,4665,7547,5682,4432,3762,"",20287,"","","","",16786,2025-12-01-11-17,2025-12-01-17-17,2025-12-01-17-25,8
s.28f0ef57-f60e-4788-b647-2f6b12c7aa52.txt,4952,6586,4512,4566,3978,6772,"",95680,"","","","",23833,2025-12-01-12-17,2025-12-01-17-17,2025-12-01-17-26,9
s.33515f80-0e3f-4495-b9c3-4f53a510b91f.txt,3377,6641,16994,7502,4896,4733,"",1341,"","","","",11172,2025-12-01-12-17,2025-12-01-17-17,2025-12-01-17-26,9
s.30571211-03f4-4764-8377-02d2dae1e2dd.txt,3282,4937,10121,8920,5461,5376,"",2050,"","","","",16124,2025-12-01-11-17,2025-12-01-17-17,2025-12-01-17-25,8
s.8657a573-f690-4acd-b7e7-4743305dce8a.txt,2372,3294,4778,3265,2501,4401,"",2485,"","","","",3580,2025-12-01-11-17,2025-12-01-17-17,2025-12-01-17-25,8
s.a3cbd902-1925-492e-b6a5-fbda1743f3a7.txt,3894,5101,9293,6986,4317,4224,"",15572,"","","","",5394,2025-12-01-11-17,2025-12-01-17-17,2025-12-01-17-26,9
s.2948d978-0ba0-4596-b1c8-96644d686135.txt,6406,4031,11851,3898,4125,4998,"",8090,"","","","",14577,2025-12-01-12-17,2025-12-01-17-17,2025-12-01-17-26,9
s.9b05f88c-06b5-48ce-bfea-ac7dc8f03379.txt,4926,4587,9074,4395,4283,17988,"",21491,"","","","",19241,2025-12-01-11-17,2025-12-01-17-17,2025-12-01-17-27,10
s.e590e264-45ad-465d-bc6f-c78f14d8ee16.txt,6361,6116,7442,9219,5570,5209,"",4291,"","","","",17750,2025-12-01-11-17,2025-12-01-17-17,2025-12-01-17-24,7
s.83132d5f-32c3-421d-b4ec-cba7b68db7d1.txt,5350,7125,7285,7423,6313,7604,"",79520,"","","","",31735,2025-12-01-12-17,2025-12-01-17-18,2025-12-01-17-27,9
s.a6dcc069-aa98-4d09-bbb7-43b28c0a28aa.txt,3938,9851,42604,6742,6097,7393,"",30152,"","","","",10378,2025-12-01-12-18,2025-12-01-17-18,2025-12-01-17-26,8
s.f29b0a5e-ba74-4525-9333-9e667da5ded1.txt,11529,4259,11800,11191,4353,3738,"",2880,"","","","",39894,2025-12-01-09-18,2025-12-01-17-18,2025-12-01-17-25,7
s.b78776f0-efec-4dd8-b014-0c64fafcfa3c.txt,5616,5174,8070,9301,6243,82567,"",75636,"","","","",6200,2025-12-01-12-18,2025-12-01-17-18,2025-12-01-17-33,15
s.d9235a7d-3f14-48a8-ac10-0ef2889518ba.txt,3691,4324,5013,4130,4793,8905,"",5402,"","","","",62443,2025-12-01-12-19,2025-12-01-17-19,2025-12-01-17-26,7
s.c868380b-dc90-45d1-8678-7b3d5b0ab290.txt,11273,52353,11049,16701,5225,222060,"",3693,"","","","",15955,2025-12-01-12-19,2025-12-01-17-19,2025-12-01-17-33,14
s.ebec2a57-9b81-4667-8354-c1c793fcafb5.txt,4635,8569,17933,8585,5604,5077,"",3194,"","","","",11760,2025-12-01-12-19,2025-12-01-17-19,2025-12-01-17-27,8
s.bee4315f-b5c0-4b14-9ecb-b5d90e5894a0.txt,9964,6751,11375,5380,5557,17219,"",4582,"","","","",26136,2025-12-01-12-19,2025-12-01-17-19,2025-12-01-17-29,10
s.dc723d86-9075-452a-8c68-fcb2d42cc67f.txt,4953,4309,6143,3474,4017,171828,"",2153,"","","","",4258,2025-12-01-12-19,2025-12-01-17-19,2025-12-01-17-29,10
s.cae4b76e-f340-4038-aef9-a6b9aaa09eb0.txt,3014,7784,9696,3260,4232,8834,"",5321,"","","","",3772,2025-12-01-11-19,2025-12-01-17-19,2025-12-01-17-26,7
s.f94d4cb5-bc39-4e3a-a0d3-a96fb2fecd50.txt,8566,4396,6058,6540,6647,6285,"",112133,"","","","",25608,2025-12-01-09-19,2025-12-01-17-19,2025-12-01-17-34,15
s.5457f5ed-4643-4f2d-bde6-0ef56c470b0b.txt,2495,3733,7623,6942,4132,3913,"",3253,"","","","",10513,2025-12-01-09-19,2025-12-01-17-19,2025-12-01-17-26,7
s.dec61591-cc3b-49ee-829c-8243454f0696.txt,3573,4537,9433,12782,4962,12088,"",3024,"","","","",17973,2025-12-01-09-19,2025-12-01-17-19,2025-12-01-17-28,9
s.5f498c2c-c87c-443a-82cb-b1c3d37aac5a.txt,4426,6706,5587,3915,4369,3732,"",5320,"","","","",4931,2025-12-01-11-19,2025-12-01-17-19,2025-12-01-17-26,7
s.078b10b0-b1b5-4521-8ea4-da6ef090c6bc.txt,21136,8185,11571,28825,11957,8810,"",37765,"","","","",127641,2025-12-01-09-19,2025-12-01-17-19,2025-12-01-17-32,13
s.fd671ad3-9ba5-4b32-982d-2b2d7b6916a0.txt,3594,3867,4714,4819,4587,2458,"",3179,"","","","",7718,2025-12-01-12-19,2025-12-01-17-19,2025-12-01-17-32,13
s.bf2102f2-c7ad-4f51-9cc1-b146f3803b22.txt,3213,3072,3729,3702,3408,2789,"",30763,"","","","",3861,2025-12-01-12-20,2025-12-01-17-20,2025-12-01-17-28,8
s.5bc2092b-a7f5-425d-939b-2aba2f4cf651.txt,25631,5605,12906,3092,3653,4700,"",99286,"","","","",47519,2025-12-01-12-20,2025-12-01-17-20,2025-12-01-17-33,13
s.1fa49eaf-89c0-4fb0-8399-8e8ca5162276.txt,9166,15328,7146,6026,8615,4958,"",3503,"","","","",32427,2025-12-01-12-20,2025-12-01-17-20,2025-12-01-17-30,10
s.d4729de1-fdfc-405e-ae97-49dc5cba4e35.txt,3928,34194,10842,7275,6902,7751,"",11626,"","","","",36625,2025-12-01-11-20,2025-12-01-17-20,2025-12-01-17-29,9
s.1cc0034b-5193-413d-9586-be797a44b980.txt,3084,3191,3237,4789,4664,1297846,"",41358,"","","","",15639,2025-12-01-11-20,2025-12-01-17-20,2025-12-01-18-00,40
s.18c45c4b-207b-4b16-8943-7c9f41d58215.txt,7543,3714,4299,4461,3110,2453,"",193348,"","","","",3867,2025-12-01-11-20,2025-12-01-17-20,2025-12-01-17-33,13
s.53f8a2d3-1d75-4a16-a4a5-0a93bc672aac.txt,5199,6321,6989,5033,5447,7767,"",5620,"","","","",13999,2025-12-01-11-20,2025-12-01-17-20,2025-12-01-17-31,11
s.119722e6-4d03-418a-b08f-5fd325f7627f.txt,4014,17274,9041,5684,6904,30429,"",58046,"","","","",18883,2025-12-01-12-21,2025-12-01-17-21,2025-12-01-17-31,10
s.1ee36b0f-ba18-4659-b647-ba4c6f9e3117.txt,5824,3149,3362,3321,3711,2458,"",1256,"","","","",5974,2025-12-01-11-21,2025-12-01-17-21,2025-12-01-17-26,5
s.3a7e1cf7-f62e-453d-ac61-9c5aa732b55c.txt,17066,10116,10223,6225,8288,19584,"",2510,"","","","",5622,2025-12-01-12-21,2025-12-01-17-21,2025-12-01-17-30,9
s.7e965a4e-1157-4d88-8248-7168a6046673.txt,9852,13749,37420,8163,7509,5176,"",18545,"","","","",7947,2025-12-01-09-23,2025-12-01-17-22,2025-12-01-17-31,9
s.bc3902c2-ad33-4607-b470-155397641026.txt,11050,3979,6096,9918,17272,160726,"",130061,"","","","",164621,2025-12-01-09-22,2025-12-01-17-22,2025-12-01-17-34,12
s.9133288e-b6d2-4f0b-8d17-184d41f37f33.txt,4303,6588,9218,4633,5616,44795,"",120685,"","","","",18722,2025-12-01-12-22,2025-12-01-17-22,2025-12-01-17-35,13
s.90da3f0b-b9ec-42a0-b4c6-0c17a8628a65.txt,7591,7117,9600,32764,10217,7781,"",23696,"","","","",147363,2025-12-01-11-22,2025-12-01-17-22,2025-12-01-17-34,12
s.a5b5d62e-4dd4-4df2-9858-c1938eb0bf13.txt,9395,8045,12506,8008,10908,1708,"",4135,"","","","",381217,2025-12-01-11-23,2025-12-01-17-23,2025-12-01-17-32,9
s.e7a6ea1b-7b7a-43e3-a468-5baf30b17e3e.txt,3078,4774,42378,10383,18830,3839,"",2119,"","","","",3990,2025-12-01-10-23,2025-12-01-17-23,2025-12-01-17-32,9
s.2b4252e2-fb7f-4feb-9a5e-6e7a8c455d80.txt,51457,8478,12478,10467,8385,9624,"",139732,"","","","",36067,2025-12-01-09-24,2025-12-01-17-24,2025-12-01-17-37,13
s.6296ebb9-bee0-4aa6-ba15-26196cf11a4f.txt,3044,8096,15640,4206,5433,9120,"",14256,"","","","",25099,2025-12-01-11-24,2025-12-01-17-24,2025-12-01-17-31,7
s.f01a9c8c-b03b-42af-a0f0-8404b9563c6c.txt,5275,6468,70909,11026,8888,12373,"",34194,"","","","",30906,2025-12-01-12-24,2025-12-01-17-24,2025-12-01-17-36,12
